                  epoch,           train/box_om,           train/cls_om,           train/dfl_om,           train/box_oo,           train/cls_oo,           train/dfl_oo,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),             val/box_om,             val/cls_om,             val/dfl_om,             val/box_oo,             val/cls_oo,             val/dfl_oo,                 lr/pg0,                 lr/pg1,                 lr/pg2
                     34,                0.87764,                0.82436,                 1.2153,                0.92816,                0.86249,                 1.2263,                 0.8466,                 0.8662,                0.89758,                0.63206,                0.96515,                0.67849,                  1.432,                0.99487,                0.59788,                 1.4455,               0.008944,               0.008944,               0.008944
                     35,                0.87512,                0.80561,                 1.2144,                0.92796,                0.85529,                 1.2265,                0.83682,                0.88152,                0.90404,                0.63573,                0.98054,                0.65109,                 1.4331,                  1.002,                0.57795,                  1.443,               0.008911,               0.008911,               0.008911
                     36,                0.86759,                0.79787,                 1.2065,                 0.9253,                0.83403,                 1.2228,                0.86277,                0.87317,                0.90958,                0.63277,                0.98268,                0.64999,                 1.4346,                 1.0172,                0.57591,                  1.444,               0.008878,               0.008878,               0.008878
                     37,                0.86966,                0.78245,                 1.2091,                 0.9296,                0.82388,                 1.2246,                  0.855,                0.90474,                0.91981,                0.63935,                0.97754,                0.59337,                 1.4355,                 1.0175,                0.52574,                  1.456,               0.008845,               0.008845,               0.008845
                     38,                0.87053,                 0.7899,                 1.2091,                0.92614,                0.83144,                 1.2206,                0.85851,                0.89359,                0.91542,                 0.6435,                0.98272,                0.61784,                 1.4336,                0.99955,                0.55615,                 1.4468,               0.008812,               0.008812,               0.008812
                     39,                 0.8699,                0.78939,                 1.2143,                0.92676,                0.83302,                 1.2288,                0.82788,                0.89565,                0.90372,                0.62833,                0.98828,                0.65045,                 1.4416,                 1.0248,                0.59007,                 1.4711,               0.008779,               0.008779,               0.008779
                     40,                0.85861,                0.77972,                 1.2032,                0.91541,                0.81912,                 1.2179,                0.87593,                0.87971,                0.91777,                 0.6429,                 1.0056,                0.62437,                  1.454,                  1.035,                 0.5351,                  1.469,               0.008746,               0.008746,               0.008746
                     41,                0.85865,                0.77634,                 1.2082,                0.91488,                0.82133,                 1.2226,                0.85151,                0.87752,                0.91031,                 0.6361,                0.99884,                0.62257,                 1.4545,                  1.032,                 0.5473,                 1.4579,               0.008713,               0.008713,               0.008713
                     42,                0.85182,                0.76882,                 1.2035,                0.90915,                0.80184,                 1.2159,                0.86085,                 0.8993,                0.92503,                0.64921,                0.99732,                0.61777,                 1.4414,                 1.0138,                 0.5469,                 1.4486,                0.00868,                0.00868,                0.00868
                     43,                0.84953,                0.76833,                 1.1973,                0.90038,                0.80692,                 1.2095,                0.86065,                0.89543,                 0.9217,                0.64021,                0.98236,                0.61475,                 1.4469,                 1.0249,                0.51993,                 1.4652,               0.008647,               0.008647,               0.008647
