               epoch,      train/box_loss,      train/obj_loss,      train/cls_loss,   metrics/precision,      metrics/recall,     metrics/mAP_0.5,metrics/mAP_0.5:0.95,        val/box_loss,        val/obj_loss,        val/cls_loss,               x/lr0,               x/lr1,               x/lr2
                  55,            0.024504,            0.011112,            0.019791,             0.84269,             0.87315,             0.88652,              0.5918,            0.014318,           0.0033423,            0.009727,           0.0089308,           0.0089308,           0.0089308
                  56,            0.024202,            0.011044,            0.019674,             0.86255,             0.87289,             0.88865,               0.594,             0.01396,           0.0033773,            0.008018,            0.008911,            0.008911,            0.008911
                  57,            0.024339,            0.011094,            0.019496,             0.84969,             0.86682,             0.88438,             0.59588,            0.014512,           0.0033344,           0.0065366,           0.0088912,           0.0088912,           0.0088912
                  58,            0.024542,            0.010985,            0.019689,             0.83808,             0.88234,             0.89414,             0.60408,            0.014535,             0.00335,           0.0059422,           0.0088714,           0.0088714,           0.0088714
                  59,            0.024193,            0.011037,            0.019089,             0.84688,             0.86073,             0.87984,             0.58903,             0.01458,           0.0033519,            0.008853,           0.0088516,           0.0088516,           0.0088516
                  60,             0.02424,            0.011137,            0.019279,             0.85254,             0.88439,             0.88831,             0.59391,            0.014595,           0.0033315,           0.0067828,           0.0088318,           0.0088318,           0.0088318
                  61,             0.02426,             0.01111,            0.019694,             0.85067,             0.85873,             0.88676,             0.58281,            0.014502,            0.003419,            0.009798,            0.008812,            0.008812,            0.008812
                  62,            0.024293,            0.010962,            0.019447,              0.8536,             0.86996,             0.87902,             0.58413,            0.014528,           0.0034155,           0.0088942,           0.0087922,           0.0087922,           0.0087922
                  63,             0.02409,            0.011048,            0.019445,             0.88828,             0.87109,             0.89757,             0.59988,            0.014471,           0.0033585,           0.0078647,           0.0087724,           0.0087724,           0.0087724
                  64,            0.023927,            0.010938,            0.019587,             0.84281,             0.88123,             0.88755,             0.59812,             0.01477,           0.0033756,           0.0084467,           0.0087526,           0.0087526,           0.0087526
                  65,            0.024143,            0.011019,            0.019517,              0.8368,              0.8762,              0.8848,             0.58806,            0.014658,           0.0033479,            0.010402,           0.0087328,           0.0087328,           0.0087328
                  66,             0.02429,            0.011092,            0.019296,             0.84224,             0.88958,             0.88251,             0.58519,            0.014532,             0.00343,           0.0095212,            0.008713,            0.008713,            0.008713
                  67,            0.024014,            0.010992,            0.019488,             0.82901,             0.90782,             0.89087,             0.59205,            0.014676,           0.0033682,           0.0058599,           0.0086932,           0.0086932,           0.0086932
                  68,            0.023976,            0.010999,            0.019541,             0.84931,             0.88417,             0.89543,              0.6008,             0.01477,           0.0034284,           0.0071018,           0.0086734,           0.0086734,           0.0086734
                  69,            0.024429,            0.010925,            0.019066,             0.83278,             0.89777,             0.88355,             0.59496,            0.014564,            0.003356,           0.0066282,           0.0086536,           0.0086536,           0.0086536
                  70,            0.024365,            0.011061,            0.019906,             0.83395,             0.91469,             0.89577,             0.59159,            0.014408,           0.0033885,           0.0072703,           0.0086338,           0.0086338,           0.0086338
                  71,            0.024032,            0.011049,            0.019264,             0.84755,              0.8682,             0.88322,             0.59249,            0.014719,           0.0033705,           0.0081146,            0.008614,            0.008614,            0.008614
                  72,             0.02399,            0.010928,            0.018744,             0.83135,             0.89278,             0.88466,             0.59006,             0.01512,           0.0033968,           0.0084767,           0.0085942,           0.0085942,           0.0085942
                  73,            0.024268,            0.011075,             0.01976,             0.85099,             0.88071,             0.89205,             0.59686,            0.014961,           0.0033654,           0.0084348,           0.0085744,           0.0085744,           0.0085744
                  74,            0.024052,            0.010928,            0.018701,             0.84218,             0.87574,             0.88609,               0.598,            0.014518,           0.0033454,           0.0081879,           0.0085546,           0.0085546,           0.0085546
                  75,            0.023999,            0.010989,            0.019582,             0.87065,             0.85441,             0.88702,             0.58318,            0.014326,           0.0034684,           0.0076488,           0.0085348,           0.0085348,           0.0085348
                  76,             0.02387,             0.01098,            0.018783,             0.86248,             0.88763,             0.89163,             0.59982,            0.014313,           0.0033564,            0.006085,            0.008515,            0.008515,            0.008515
                  77,            0.023912,            0.010845,            0.019662,             0.84889,              0.8893,             0.88256,              0.5909,            0.014558,           0.0033534,           0.0057536,           0.0084952,           0.0084952,           0.0084952
                  78,            0.023978,            0.010905,             0.01949,             0.86728,             0.86708,             0.88981,             0.59826,            0.014772,           0.0033612,           0.0069911,           0.0084754,           0.0084754,           0.0084754
                  79,            0.024258,            0.010929,            0.019459,             0.87361,             0.88529,              0.8958,             0.60448,            0.014079,           0.0033573,           0.0056972,           0.0084556,           0.0084556,           0.0084556
                  80,            0.023916,            0.010945,             0.01917,              0.8583,             0.89963,              0.8957,             0.60242,            0.013961,           0.0033613,           0.0057619,           0.0084358,           0.0084358,           0.0084358
                  81,            0.023941,            0.010891,            0.018974,             0.83723,             0.91409,             0.89159,             0.60203,              0.0143,           0.0033713,           0.0072052,            0.008416,            0.008416,            0.008416
                  82,            0.023838,            0.011062,             0.01855,             0.85987,             0.88461,             0.88814,             0.59835,            0.014201,           0.0033149,            0.007381,           0.0083962,           0.0083962,           0.0083962
                  83,            0.024215,            0.011049,            0.018854,             0.85118,             0.87949,             0.89144,             0.59646,            0.014255,           0.0034211,           0.0063289,           0.0083764,           0.0083764,           0.0083764
                  84,            0.023766,            0.010753,            0.018974,             0.84162,             0.88545,             0.89363,             0.59975,              0.0145,           0.0033802,           0.0069621,           0.0083566,           0.0083566,           0.0083566
                  85,            0.024222,            0.011027,            0.019167,             0.84778,              0.8891,             0.89576,             0.60846,            0.014037,           0.0033345,           0.0059633,           0.0083368,           0.0083368,           0.0083368
                  86,            0.023961,            0.010985,            0.018656,             0.87036,             0.87957,             0.89973,             0.60914,            0.014073,           0.0033122,           0.0067664,            0.008317,            0.008317,            0.008317
                  87,            0.023749,            0.011005,            0.018893,             0.86301,             0.88957,             0.89431,             0.60033,            0.014828,           0.0033253,           0.0084243,           0.0082972,           0.0082972,           0.0082972
                  88,            0.023753,            0.010918,            0.018806,             0.85828,             0.89492,             0.89752,             0.60544,            0.014695,           0.0033404,           0.0065023,           0.0082774,           0.0082774,           0.0082774
                  89,            0.023774,            0.010838,            0.018377,             0.85656,             0.90491,             0.89663,             0.60179,            0.014508,           0.0033312,           0.0070152,           0.0082576,           0.0082576,           0.0082576
                  90,            0.023888,            0.010839,            0.018512,             0.87576,             0.89934,             0.90183,             0.60969,            0.014514,           0.0033365,           0.0061271,           0.0082378,           0.0082378,           0.0082378
                  91,            0.024064,            0.010899,            0.019085,             0.87804,             0.87558,             0.89978,             0.61046,             0.01437,           0.0033057,           0.0058906,            0.008218,            0.008218,            0.008218
                  92,              0.0239,            0.010872,            0.018905,             0.87649,             0.88339,             0.90256,             0.61351,             0.01423,           0.0033377,           0.0065918,           0.0081982,           0.0081982,           0.0081982
                  93,            0.023995,            0.010884,            0.018584,             0.84807,             0.89958,             0.89667,             0.60971,            0.014292,           0.0033392,           0.0081015,           0.0081784,           0.0081784,           0.0081784
                  94,            0.023718,            0.010918,            0.018905,             0.86145,             0.89309,             0.89726,             0.59931,            0.014586,           0.0033512,           0.0068261,           0.0081586,           0.0081586,           0.0081586
                  95,            0.023779,            0.010903,            0.017893,             0.85906,             0.89697,             0.89513,             0.60639,            0.014408,           0.0033252,           0.0053925,           0.0081388,           0.0081388,           0.0081388
